City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,malyye derbety,47.9547,44.6808,21.59,79,72,2.45,RU,1718322309
154,argo,37.6333,22.7333,28.21,33,85,2.6,GR,1718322309
155,buala,-8.145,159.5921,28.08,81,89,4.3,SB,1718322229
156,crane,31.3974,-102.3501,36.45,23,0,4.95,US,1718322217
157,al abyar,32.19,20.5965,32.62,15,0,4.45,LY,1718322309
158,tindouf,27.6711,-8.1474,27.25,34,0,5.66,DZ,1718322309
159,badger,64.8,-147.5333,17.98,72,75,4.63,US,1718322215
160,ballina,-28.8667,153.5667,17.66,65,30,4.45,AU,1718322309
161,hawaiian paradise park,19.5933,-154.9731,27.24,72,100,4.63,US,1718322194
162,berezovyy,51.6667,135.7,14.29,66,91,1.68,RU,1718322309
163,mocorito,25.4833,-107.9167,33.7,48,12,5.12,MX,1718322309
164,naifaru,5.4444,73.3657,28.62,77,50,6.36,MV,1718322309
165,aparecida de goiania,-16.8233,-49.2439,24.48,52,0,2.98,BR,1718322201
166,masterton,-40.9597,175.6575,13.82,94,100,1.82,NZ,1718322309
167,kabompo,-13.5927,24.2008,8.91,48,1,2.53,ZM,1718322309
168,labrador city,52.9463,-66.9114,19.95,56,100,3.09,CA,1718322017
169,ilha de mocambique,-15.0342,40.7358,21.75,74,25,8.49,MZ,1718322235
170,atafu village,-8.5421,-172.5159,29.15,76,51,4.7,TK,1718322199
171,ribeira grande,38.5167,-28.7,20.99,91,78,1.79,PT,1718322202
172,grand-popo,6.2804,1.8225,26.37,88,83,5.48,BJ,1718322309
173,mormugao,15.4,73.8,23.59,100,100,2.57,IN,1718322310
174,tadine,-21.55,167.8833,23.82,49,91,5.73,NC,1718322310
175,necochea,-38.5473,-58.7368,14.86,94,100,3.19,AR,1718322310
176,norilsk,69.3535,88.2027,5.79,97,100,2.55,RU,1718322229
177,akdepe,42.0551,59.3788,27.05,27,26,3.36,TM,1718322310
178,aginskoye,51.1,114.53,15.9,64,20,3.05,RU,1718322230
179,pangody,65.85,74.4859,10.04,78,69,4.7,RU,1718322310
180,skarszewy,54.0691,18.4442,7.68,87,23,1.31,PL,1718322310
181,afaahiti,-17.75,-149.2833,24.93,83,28,9.06,PF,1718322200
182,port-vila,-17.7338,168.3219,25.78,61,40,3.6,VU,1718322310
183,shingu,33.7333,135.9833,25.37,67,36,1.98,JP,1718322310
184,keflavik,64.0049,-22.5624,11.95,87,100,7.2,IS,1718322214
185,margate,51.3813,1.3862,12.72,84,100,6.26,GB,1718322310
186,aasiaat,68.7098,-52.8699,0.58,87,15,3.29,GL,1718322206
187,karema,-6.8205,30.4389,20.53,63,1,2.39,TZ,1718322310
188,dunedin,-45.8742,170.5036,7.67,97,100,1.34,NZ,1718322163
189,yinchuan,38.4681,106.2731,22.88,25,65,4.2,CN,1718322310
190,dolisie,-4.1997,12.6739,20.48,94,71,1.85,CG,1718322310
191,haiku-pauwela,20.9219,-156.3051,28.43,63,20,10.8,US,1718322213
192,peruibe,-24.32,-46.9983,19.08,65,3,2.09,BR,1718322310
193,svetlograd,45.3353,42.8547,19.48,82,62,2.82,RU,1718322310
194,taltal,-25.4,-70.4833,16.8,62,1,0.9,CL,1718322021
195,long beach,33.767,-118.1892,31.65,69,0,6.69,US,1718322173
196,suva,-18.1416,178.4415,27.71,78,75,2.06,FJ,1718322310
197,nova vicosa,-17.8919,-39.3719,22.93,76,7,3.63,BR,1718322215
198,stanley,54.868,-1.6985,10.4,93,75,4.63,GB,1718322012
199,mermoz boabab,14.7065,-17.4758,24.88,83,100,4.12,SN,1718322310
200,vidor,30.1316,-94.0155,33.98,56,0,1.64,US,1718322191
201,moyale,3.5167,39.0584,18.75,66,74,1.74,KE,1718322310
